Date,Region,Place,Trigger,Weak Layer,Depth,Width,Vertical,Aspect,Elevation,Coordinates,Caught,Carried,Buried - Partly,Buried - Fully,Injured,Killed
10/29/2019,Salt Lake,Gunsight,Skier,,"14""",5',,Northeast,"10,100'","40.580576005808, -111.630956890300",1,1,,,,
10/27/2019,Salt Lake,Cardiac Ridge,Natural,New Snow/Old Snow Interface,"10""",30',"1,000'",East,"10,900'",,,,,,,
6/7/2019,Uintas,Hayden,Natural,,2.5',400',,East,"11,700'","40.733210077639, -110.845034109780",,,,,,
6/6/2019,Uintas,Kletting/Hayden Peaks,Natural,,2.5',400',,West,"11,500'","40.765231779540, -110.859603869130",,,,,,
6/3/2019,Salt Lake,Sugarloaf,Natural,,"8""",,,Northeast,"11,000'","40.565806048708, -111.624996351310",,,,,,
6/1/2019,Salt Lake,Hypodermic Needle,Skier,,"8""",,,East,,,1,1,1,,,
5/24/2019,Salt Lake,East Castle,Skier,,"10""",200',,North,"10,700'","40.568902822224, -111.612070786100",,2,,,,
5/24/2019,Salt Lake,Rocky Point,Skier,,"6""",,,Northeast,"10,400'",,,,,,,
5/24/2019,Salt Lake,Y Coulior,Natural,,,,,North,"9,000'","40.559982177885, -111.726536737980",,,,,,
5/24/2019,Salt Lake,Albion Basin,Skier,,"10""",30',,North,"9,800'","40.569860426944, -111.617467390610",,,,,,
5/24/2019,Salt Lake,Lone Pine,Skier,,"6""",,,Northeast,"9,500'","40.583085685613, -111.633907990760",1,1,1,,,
5/24/2019,Salt Lake,Devils Castle,Skier,,2',500',,Northeast,"9,200'","40.567529552401, -111.620294438910",,,,,,
5/23/2019,Salt Lake,Banana Days,Skier,,"8""",70',,Northeast,"10,200'",,,,,,,
5/23/2019,Salt Lake,Superior,Skier,Density Change,"12""",150',600',North,"10,800'","40.592372413397, -111.665285812930",2,2,,,,
5/22/2019,Salt Lake,Superior,Skier,,"20""",60',,Southeast,"10,800'","40.590525049551, -111.661477076120",1,1,,,,
5/19/2019,Salt Lake,Mineral Fork,,,,,,East,"9,500'","40.686756213432, -111.752414690550",,,,,,
5/18/2019,Uintas,Uintas,Unknown,,,300',,Southwest,,"40.718180096780, -110.841751085930",,,,,,
5/1/2019,Logan,Gibson Lakes Area,Natural,,,,,East,"9,300'","42.039819287750, -111.644901024390",,,,,,
4/26/2019,Uintas,Hayden,Natural,Facets,5',200',450',Southwest,"11,300'","40.722140283671, -110.846578330550",,,,,,
4/23/2019,Salt Lake,Alta Periphery,Skier,,"18""",200',,West,"10,000'",,,,,,,
4/19/2019,Salt Lake,Wolverine Cirque,Skier,,,20',,Northeast,"10,500'",,,1,,,,
4/19/2019,Logan,Mendon Peak,Skier,Wet grains,,,,East,"7,900'","41.684963644207, -112.022824274560",,,,,,
4/18/2019,Ogden,Banana Chute,Natural,,,,,North,"9,300'","41.211769936412, -111.892055856260",,,,,,
4/18/2019,Provo,Timpanogos,Unknown,,,,,East,"8,500'",,,,,,,
4/18/2019,Ogden,Ogden Mountains,Natural,,,,,Southwest,"9,900'","41.188731006647, -111.912918077980",,,,,,
4/17/2019,Salt Lake,Argenta,Skier,New Snow/Old Snow Interface,"5""",40',700',North,"10,000'",,1,1,,,,
4/17/2019,Salt Lake,Cardiac Ridge,Natural,New Snow/Old Snow Interface,"12""",45',"1,000'",East,"10,900'",,,,,,,
4/16/2019,Salt Lake,Main Days,Skier,,"8""",800',,North,"10,500'","40.604919184856, -111.644117819380",,2,,,,
4/16/2019,Salt Lake,West Monitor,Skier,New Snow/Old Snow Interface,"12""",30',800',Northeast,"10,100'",,,,,,,
4/16/2019,Salt Lake,Dry Fork of AF,Snowboarder,,"2""",35',,Northeast,"10,000'","40.573419616582, -111.598348101840",,,,,,
4/16/2019,Salt Lake,Red Baldy,Natural,New Snow/Old Snow Interface,"12""",100',"1,000'",South,"11,000'","40.538346003130, -111.666219221650",,,,,,
4/15/2019,Salt Lake,Greaseball,Skier,,"12""",30',,Northwest,"10,200'","40.626933347995, -111.668107496800",,,,,,
4/15/2019,Salt Lake,Coalpit 4,Natural,,,30',,North,"7,000'",,,,,,,
4/14/2019,Salt Lake,Y Coulior,Natural,,"6""",10',,North,"7,500'",,,,,,,
4/14/2019,Salt Lake,Jupiter,Skier,,"20""",125',,North,"10,000'","40.294060705765, -110.775146471690",,,,,,
4/13/2019,Salt Lake,Big Willow,Skier,,4',400',,North,"10,600'",,,1,,,,
